0	0	0	
1.610810811	0.570102796	0.353922877	2.82547432
6.151351351	2.183022864	0.355226443	2.81510574
11.6	4.128448238	0.357047316	2.800749245
16.14054054	5.756590863	0.35857903	2.788785498
20.16216216	7.20362621	0.359813897	2.779214502
24.44324324	8.75023254	0.361265367	2.768048338
33.39459459	12.01034805	0.364203725	2.745716012
41.48972973	14.98349952	0.367276323	2.722745619
47.79459459	17.31359745	0.369571431	2.705836858
52.20540541	18.9514315	0.371322672	2.693075529
58.17297297	21.18185705	0.373757904	2.675528701
62.19459459	22.69126936	0.375324298	2.664362538
69.04432432	25.2816806	0.378177145	2.644263444
74.51891892	27.36511834	0.380564753	2.627673716
79.44864865	29.25265829	0.382889136	2.611722054
84.57297297	31.22828127	0.385538239	2.593776435
90.02162162	33.34357883	0.388224255	2.575830816
94.96432432	35.2764608	0.391057704	2.557167372
99.94594595	37.23870008	0.393895688	2.538743202
105.5891892	39.48234301	0.397580405	2.515214502
110.4540541	41.43322097	0.401013802	2.493679758
115.4579151	43.45890502	0.404824205	2.470208028
119.6	45.15023184	0.408327412	2.449015106
126.1189189	47.85167581	0.414400609	2.413123867
131.803861	50.24033986	0.420173858	2.379967199
136.5297297	52.25425692	0.426147483	2.346605438
141.9783784	54.61861582	0.433934917	2.304493051
146.2594595	56.50757647	0.441234497	2.26636858
149.9567568	58.16638883	0.448655389	2.228882175
157.3513514	61.63286687	0.468785407	2.133172205
160.6594595	63.2192481	0.479543347	2.085317221
165	65	0.48947626	2.043
